Name,Latitude,Longitude,Pole #,Description,Open Pole Card
Pole 259,38.962886,-121.606203,121569213,"COMCAST PL 6.6M STRAND, 48CT FOC
AND O'LASH (1) BUNDLE OF LINEAR TAIL
HOA = 26'06"" SS (NW)
COMCAST PL 6.6M STRAND, 48CT FOC
AND O'LASH (1) BUNDLE OF LINEAR TAIL
HOA = 26'06"" (E)
COMCAST PL INS 6M DG AND 1"" TE ANC;
GG; HOA = 26'06"" L = 16'00"" (W)",https://lagidpress-eng.github.io/MaRe-aggent/?pole=259
Pole 260,38.962883,-121.605325,121569211,"COMCAST PL 6.6M STRAND, 48CT FOC
AND O'LASH (1) BUNDLE OF LINEAR TAIL
HOA = 25'00"" (E/W)",https://lagidpress-eng.github.io/MaRe-aggent/?pole=260
Pole 261,38.962888,-121.604478,121569207,"COMCAST PL 6.6M STRAND, 48CT FOC
AND O'LASH (1) BUNDLE OF LINEAR TAIL
HOA = 25'00"" (W)
COMCAST PL 6.6M STRAND AND 48CT
FOC HOA = 25'00"" (E)",https://lagidpress-eng.github.io/MaRe-aggent/?pole=261
Pole 262,38.962892,-121.603555,121569214,"COMCAST PL 6.6M STRAND AND 48CT
FOC HOA = 25'00"" (E/W)",https://lagidpress-eng.github.io/MaRe-aggent/?pole=262
Pole 263,38.962892,-121.602641,120972214,"COMCAST PL 6.6M STRAND AND 48CT
FOC HOA = 25'00"" (E/W)",https://lagidpress-eng.github.io/MaRe-aggent/?pole=263
Pole 264,38.962895,-121.601645,121569215,"COMCAST PL 6.6M STRAND AND 48CT
FOC HOA = 23'00"" (E/W)",https://lagidpress-eng.github.io/MaRe-aggent/?pole=264
Pole 265,38.962909,-121.600677,121569216,"COMCAST PL 6.6M STRAND AND 48CT
FOC HOA = 25'00"" (E/W)
NOTE: COMCAST PL NEW VGR AND
BOND ALL COMMS",https://lagidpress-eng.github.io/MaRe-aggent/?pole=265
Pole 266,38.962914,-121.599311,121569217,"COMCAST PL 6.6M STRAND AND 48CT
FOC HOA = 24'00"" (W)
COMCAST PL 6.6M STRAND, 48CT FOC
AND O'LASH (1) BUNDLE OF LINEAR TAIL
HOA = 24'00"" (E)",https://lagidpress-eng.github.io/MaRe-aggent/?pole=266
Pole 267,38.962927,-121.597926,121569218,"COMCAST PL 6.6M STRAND, 48CT FOC
AND O'LASH (1) BUNDLE OF LINEAR TAIL
HOA = 22'00"" (W)
COMCAST PL 6.6M STRAND, 48CT FOC
AND O'LASH (2) BUNDLE OF LINEAR TAIL
HOA = 22'00"" (E)",https://lagidpress-eng.github.io/MaRe-aggent/?pole=267
Pole 268,38.962716,-121.597855,,"DO NOT ATTACH - G0 95 VIOLATION -
BYPASS UNDERGROUND",https://lagidpress-eng.github.io/MaRe-aggent/?pole=268
